player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
96,Rohit Rana,5,0,11,0,0,0,10,0,2,17,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
147,Prashant Chavan,18,1,11,1,0,0,11,0,0,11,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,1
190,Sonu Narwal,22,0,11,0,0,0,11,6,0,51,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
252,Kuldeep Singh,8,0,14,4,0,0,14,1,5,63,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,4
160,Ran Singh,33,0,14,0,0,0,12,1,6,44,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
32,Balbir Singh,1,0,4,0,0,0,0,0,0,1,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
159,Samarjeet Singh,77,0,8,0,0,0,1,0,0,2,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
198,Hwangi A. H. N.,17,0,10,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
200,Mohammad Maghsoudlou,23,0,13,0,0,0,0,0,0,1,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
15,Shrestha Sanjay,4,0,3,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
191,C. Arun,3,0,11,0,0,0,4,0,0,11,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
44,Gangadhari Mallesh,10,0,12,0,0,0,1,0,0,11,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
196,C. Karnan,13,0,3,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
193,Rohit Kumar Prajapat,14,0,3,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
87,Raju Lal Choudhary,12,0,3,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
199,Kazuhiro Takano,9,0,2,0,0,0,0,0,0,1,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
144,Gokul Shitole,15,0,1,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
178,Parveen M. Jangra,55,0,7,0,0,0,5,0,1,6,4,Bengal Warriors,14,2,Bengal Warriorz,0
164,Bajirao Hodage,3,0,7,0,0,0,7,0,1,13,4,Bengal Warriors,14,2,Bengal Warriorz,0
182,Dinesh Kumar,4,8,8,0,0,0,8,1,0,19,4,Bengal Warriors,14,2,Bengal Warriorz,0
12,Jang Kun Lee,45,2,14,1,0,0,13,5,0,50,4,Bengal Warriors,14,2,Bengal Warriorz,1
